Activity Name,Final Delivery Point [FDP],Distribution ($/mt),Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18
GFD,Aleppo,35.76,0,0,0,0,0,0,0,0,0,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049,577721.1049
GFD,Damascus City,8.21,0,0,0,0,0,0,0,0,0,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732,293997.3732
GFD,Dara'a,15.04,0,0,0,0,0,0,0,0,0,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714,143899.4714
GFD,Deir Ezzor,38.06,0,0,0,0,0,0,0,0,0,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813,365399.1813
GFD,Hama,12.97,0,0,0,0,0,0,0,0,0,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728,421424.7728
GFD,Hassakeh,11.94,0,0,0,0,0,0,0,0,0,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559,149310.2559
GFD,Homs,11.42,0,0,0,0,0,0,0,0,0,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187,605596.9187
GFD,Idleb,51.31,0,0,0,0,0,0,0,0,0,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323,193349.9323
GFD,Lattakia,8.83,0,0,0,0,0,0,0,0,0,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374,112496.374
GFD,Qunaitra,15.04,0,0,0,0,0,0,0,0,0,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432,45341.00432
GFD,Raqqa,40.18,0,0,0,0,0,0,0,0,0,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299,353310.5299
GFD,Rural Damascus,8.21,0,0,0,0,0,0,0,0,0,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395,794118.2395
GFD,Swaida,12.97,0,0,0,0,0,0,0,0,0,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945,37361.80945
GFD,Tartous,7.79,0,0,0,0,0,0,0,0,0,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323,156673.0323
