Origin Country,Specific Commodity,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
SUDAN,SORGHUM/MILLET,1,1,0.9,0.85,0.85,0.9,1,1,1,1,1,1
MALI,SORGHUM/MILLET,1,1,0.9,0.85,0.85,0.9,1,1,1,1,1,1
INDIA,SORGHUM/MILLET,1,1,1,1,1,1,1,1,1,0.8,0.8,0.8
ZAMBIA,WHITE MAIZE,1,1,1,1,0.9,0.8,0.8,0.95,1,1,1,1
TANZANIA,WHITE MAIZE,0.85,1,0.95,1,1,1,1,1,1,0.9,0.85,0.85
MALAWI,WHITE MAIZE,1,1,1,1,0.9,0.8,0.8,0.95,1,1,1,1
SOUTH AFRICA,WHITE MAIZE,1,1,1,1,0.9,0.9,0.9,1,1,1,1,1
KENYA,WHITE MAIZE,0.9,1,1,1,1,1,1,1,1,0.9,0.9,0.9
UGANDA,WHITE MAIZE,0.9,1,1,1,1,1,1,1,1,0.9,0.9,0.9
TURKEY,SUPER CEREAL (CSB+),1,1,1,1,1,1,0.8,0.8,1,1,1,1
TURKEY,SPLIT YELLOW PEAS,1,1,1,0.8,0.8,1,1,1,1,1,1,1
ETHIOPIA,RED BEANS (SMALL KIDNEY),472.7063556,545.3654586,523.7512513,543.0762538,546.167357,538.9641729,525.4401293,480.3391453,433.5435883,466.9112463,436.5387445,501.889142
ETHIOPIA,WHITE MAIZE,286.0528362,290.1949765,281.1449142,308.6933151,314.8160106,327.411021,336.9764514,349.1986052,351.5672392,335.1879274,304.9883056,284.3696481
